petal_length,petal_width,class,sepal_area,petal_area
6,2.5,Iris-Missing-Column,20.8,15
5.1,1.9,Iris-Missing-Column,15.7,9.7
5.9,2.1,Iris-Missing-Column,21.3,12.4
5.6,1.8,Iris-Missing-Column,18.3,10.1
5.8,2.2,Iris-Missing-Column,19.5,12.8
6.6,2.1,Iris-Missing-Column,22.8,13.9
4.5,1.7,Iris-Missing-Column,12.3,7.7
6.3,1.8,Iris-Missing-Column,21.2,11.3
5.8,1.8,Iris-Missing-Column,16.8,10.4
6.1,2.5,Iris-Missing-Column,25.9,15.3
5.1,2,Iris-Missing-Column,20.8,10.2
5.3,1.9,Iris-Missing-Column,17.3,10.1
5.5,2.1,Iris-Missing-Column,20.4,11.6
5,2,Iris-Missing-Column,14.3,10
5.1,2.4,Iris-Missing-Column,16.2,12.2
5.3,2.3,Iris-Missing-Column,20.5,12.2
5.5,1.8,Iris-Missing-Column,19.5,9.9
6.7,2.2,Iris-Missing-Column,29.3,14.7
6.9,2.3,Iris-Missing-Column,20,15.9
5,1.5,Iris-Missing-Column,13.2,7.5
5.7,2.3,Iris-Missing-Column,22.1,13.1
4.9,2,Iris-Missing-Column,15.7,9.8
6.7,2,Iris-Missing-Column,21.6,13.4
4.9,1.8,Iris-Missing-Column,17,8.8
5.7,2.1,Iris-Missing-Column,22.1,12
6,1.8,Iris-Missing-Column,23,10.8
4.8,1.8,Iris-Missing-Column,17.4,8.6
4.9,1.8,Iris-Missing-Column,18.3,8.8
5.6,2.1,Iris-Missing-Column,17.9,11.8
5.8,1.6,Iris-Missing-Column,21.6,9.3
6.1,1.9,Iris-Missing-Column,20.7,11.6
6.4,2,Iris-Missing-Column,30,12.8
5.6,2.2,Iris-Missing-Column,17.9,12.3
5.1,1.5,Iris-Missing-Column,17.6,7.7
5.6,1.4,Iris-Missing-Column,15.9,7.8
6.1,2.3,Iris-Missing-Column,23.1,14
5.6,2.4,Iris-Missing-Column,21.4,13.4
5.5,1.8,Iris-Missing-Column,19.8,9.9
4.8,1.8,Iris-Missing-Column,18,8.6
5.4,2.1,Iris-Missing-Column,21.4,11.3
5.6,2.4,Iris-Missing-Column,20.8,13.4
5.1,2.3,Iris-Missing-Column,21.4,11.7
5.1,1.9,Iris-Missing-Column,15.7,9.7
5.9,2.3,Iris-Missing-Column,21.8,13.6
5.7,2.5,Iris-Missing-Column,22.1,14.3
5.2,2.3,Iris-Missing-Column,20.1,12
5,1.9,Iris-Missing-Column,15.8,9.5
5.2,2,Iris-Missing-Column,19.5,10.4
5.4,2.3,Iris-Missing-Column,21.1,12.4
5.1,1.8,Iris-Missing-Column,17.7,9.2
